country,country:de,country:es,country:fr,country:nb,country:cs,country:ru,country:nl,country:sv,country:pt,country:zh,country:zh-tw,country:pl,country:it,country:da
Philippine Sea,Philippinensee,Mar de Filipinas,Mer des Philippines,Filippinerhavet,Filipínské moře,Филиппинское море,Filipijnenzee,Filippinska sjön,Mar das Filipinas,菲律宾海(Philippine Sea),菲律賓海 (Philippine Sea),Morze Filipińskie,Mare delle Filippine,Filippinske Hav
Southern Ocean,Südlicher Ozean,Océano Antártico,Océan Austral,Sørishavet,Jižní oceán,Южный океан,Zuidelijke Oceaan,Antarktiska oceanen,Oceano Antártico,南大洋(Southern Ocean),南冰洋 (Southern Ocean),Ocean Południowy,Oceano Antartico,Det Sydlige Ishav
Gulf of Thailand,Golf von Thailand,Golfo de Tailandia,Golfe de Thaïlande,Thailandbukta,Thajský záliv,Сиамский залив,Golf van Thailand,Thailandviken,Golfo da Tailândia,泰国湾(Gulf of Thailand),泰國灣 (Gulf of Thailand),Zatoka Tajlandzka,Golfo del Siam,Thailandbugten
Micronesia,Mikronesien,Micronesia,Micronésie,Mikronesia,Mikronésie,Микронезия,Micronesië,Mikronesien,Micronésia,密克罗尼西亚(Micronesia),密克羅尼西亞 (Micronesia),Mikronezja,Micronesia,Mikronesien
Pacific Ocean,Pazifischer Ozean,Océano Pacífico,Océan Pacifique,Stillehavet,Tichý oceán,Тихий океан,Stille Oceaan,Stilla havet,Oceano Pacífico,太平洋(Pacific Ocean),太平洋 (Pacific Ocean),Ocean Spokojny,Oceano Pacifico,Stillehavet
Atlantic Ocean,Atlantischer Ozean,Océano Atlántico,Océan Atlantique,Atlanterhavet,Atlantský oceán,Атлантический океан,Atlantische Oceaan,Atlanten,Oceano Atlântico,大西洋(Atlantic Ocean),大西洋 (Atlantic Ocean),Ocean Atlantycki,Oceano Atlantico,Atlanterhavet
Indian Ocean,Indischer Ozean,Océano Índico,Océan Indien,Det indiske hav,Indický oceán,Индийский океан,Indische Oceaan,Indiska oceanen,Oceano Índico,印度洋(Indian Ocean),印度洋 (Indian Ocean),Ocean Indyjski,Oceano Indiano,Det Indiske Ocean
Arctic Ocean,Arktischer Ozean,Océano Ártico,Océan Arctique,Nordishavet,Severní ledový oceán,Северный Ледовитый океан,Arctische Oceaan,Norra ishavet,Oceano Ártico,北冰洋(Arctic Ocean),北冰洋 (Arctic Ocean),Ocean Arktyczny,Mar Glaciale Artico,Det Nordlige Ishav
Hudson Bay,Hudson Bay,Bahía de Hudson,Baie d'Hudson,Hudsonbukta,Hudsonův záliv,Гудзонов залив,Hudsonbaai,Hudson Bay,Baía de Hudson,哈德逊湾(Hudson Bay),哈德遜灣 (Hudson Bay),Zatoka Hudsona,Baia di Hudson,Hudsonbugten
Labrador Sea,Labradorsee,Mar de Labrador,Mer du Labrador,Labradorsjøen,Labradorské moře,Море Лабрадор,Labradorzee,Labradorhavet,Mar de Labrador,拉布拉多海(Labrador Sea),拉布拉多海 (Labrador Sea),Morze Labradorskie,Mare del Labrador,Labradorhavet
White Sea,Weißes Meer,Mar Blanco,Mer Blanche,Kvitsjøen,Bílé moře,Белое море,Witte Zee,Vita havet,Mar Branco,白海(White Sea),白海 (White Sea),Morze Białe,Mar Bianco,Hvidehavet
Denmark Strait,Dänemarkstraße,Estrecho de Dinamarca,Détroit de Danemark,Danmarkstredet,Dánský průliv,Датский пролив,Straat Denemarken,Danmarksundet,Estreito da Dinamarca,丹麦海峡(Denmark Strait),丹麥海峽 (Denmark Strait),Cieśnina Duńska,Stretto di Danimarca,Danmarksstrædet
Norwegian Sea,Europäisches Nordmeer,Mar de Noruega,Mer de Norvège,Norskehavet,Norské moře,Норвежское море,Noorse Zee,Norska havet,Mar da Noruega,挪威海(Norwegian Sea),挪威海 (Norwegian Sea),Morze Norweskie,Mare di Norvegia,Norskehavet
Baltic Sea,Ostsee,Mar Báltico,Mer Baltique,Østersjøen,Baltské moře,Балтийское море,Oostzee,Östersjön,Mar Báltico,波罗的海(Baltic Sea),波羅的海 (Baltic Sea),Morze Bałtyckie,Mar Baltico,Østersøen
Celtic Sea,Keltische See,Mar Céltico,Mer Celtique,Det keltiske hav,Keltské moře,Кельтское море,Keltische Zee,Keltiska havet,Mar Celta,凯尔特海(Celtic Sea),凱爾特海 (Celtic Sea),Morze Celtyckie,Mare Celtico,Det Keltiske hav
English Channel,Ärmelkanal,Canal de la Mancha,Manche,Den engelske kanal,Lamanšský průliv,Ла-Манш,Het Kanaal,Engelska kanalen,Canal da Mancha,英吉利海峡(English Channel),英吉利海峽 (English Channel),La Manche,La Manica,Den Engelske Kanal
Adriatic Sea,Adriatisches Meer,Mar Adriático,Mer Adriatique,Adriaterhavet,Jaderské moře,Адриатическое море,Adriatische Zee,Adriatiska havet,Mar Adriático,亚得里亚海(Adriatic Sea),亞得里亞海 (Adriatic Sea),Morze Adriatyckie,Mare Adriatico,Adriaterhavet
Bay of Biscay,Biskaya,Golfo de Vizcaya,Golfe de Gascogne,Biscayabukta,Biskajský záliv,Бискайский залив,Golf van Biskaje,Biscayabukten,Golfo da Biscaia,比斯开湾(Bay of Biscay),比斯開灣 (Bay of Biscay),Zatoka Biskajska,Golfo di Biscaglia,Biscayabugten
Black Sea,Schwarzes Meer,Mar Negro,Mer Noire,Svartehavet,Černé moře,Чёрное море,Zwarte Zee,Svarta havet,Mar Negro,黑海(Black Sea),黑海 (Black Sea),Morze Czarne,Mar Nero,Sortehavet
Aegean Sea,Ägäisches Meer,Mar Egeo,Mer Égée,Egeerhavet,Egejské moře,Эгейское море,Egeïsche Zee,Egeiska havet,Mar Egeu,爱琴海(Aegean Sea),愛琴海 (Aegean Sea),Morze Egejskie,Mar Egeo,Ægæiske Hav
Balkan Peninsula,Balkanhalbinsel,Península balcánica,Balkans,Balkan,Balkán,Балканский полуостров,Balkan,Balkanhalvön,Bálcãs,巴尔干半岛(Balkan Peninsula),巴爾幹半島 (Balkan Peninsula),Półwysep Bałkański,Penisola balcanica,Balkanhalvøen
Caspian Sea,Kaspisches Meer,Mar Caspio,Mer Caspienne,Det kaspiske hav,Kaspické moře,Каспийское море,Kaspische Zee,Kaspiska havet,Mar Cáspio,里海(Caspian Sea),裏海 (Caspian Sea),Morze Kaspijskie,Mar Caspio,Kaspiske Hav
Mediterranean Sea,Mittelmeer,Mar Mediterráneo,Mer Méditerranée,Middelhavet,Středozemní moře,Средиземное море,Middellandse Zee,Medelhavet,Mar Mediterrâneo,地中海(Mediterranean Sea),地中海 (Mediterranean Sea),Morze Śródziemne,Mar Mediterraneo,Middelhavet
East Siberian Sea,Ostsibirische See,Mar de Siberia Oriental,Mer de Sibérie orientale,Øst-Sibirhavet,Východosibiřské moře,Восточно-Сибирское море,Oost-Siberische Zee,Östsibiriska havet,Mar Siberiano Oriental,东西伯利亚海(East Siberian Sea),東西伯利亞海 (East Siberian Sea),Morze Wschodniosyberyjskie,Mar della Siberia Orientale,Det Østsibiriske Hav
Bering Strait,Beringstraße,Estrecho de Bering,Détroit de Béring,Beringstredet,Beringův průliv,Берингов пролив,Beringstraat,Berings sund,Estreito de Bering,白令海峡(Bering Strait),白令海峽 (Bering Strait),Cieśnina Beringa,Stretto di Bering,Beringstrædet
Arabian Sea,Arabisches Meer,Mar arábigo,Mer d'Arabie,Det arabiske hav,Arabské moře,Аравийское море,Arabische Zee,Arabiska havet,Mar Arábico,阿拉伯海(Arabian Sea),阿拉伯海 (Arabian Sea),Morze Arabskie,Mar Arabico,Det Arabiske Hav
Red Sea,Rotes Meer,Mar Rojo,Mer Rouge,Rødehavet,Rudé moře,Красное море,Rode Zee,Röda havet,Mar Vermelho,红海(Red Sea),紅海 (Red Sea),Morze Czerwone,Mar Rosso,Det Røde Hav
Dead Sea,Totes Meer,Mar Muerto,Mer Morte,Dødehavet,Mrtvé moře,Мертвое море,Dode Zee,Döda havet,Mar Morto,死海(Dead Sea),死海 (Dead Sea),Morze Martwe,Mar Morto,Dødehavet
Bay of Bengal,Golf von Bengalen,Bahía de Bengala,Golfe du Bengale,Bengalbukta,Bengálský záliv,Бенгальский залив,Golf van Bengalen,Bengaliska viken,Baía de Bengala,孟加拉湾(Bay of Bengal),孟加拉灣 (Bay of Bengal),Zatoka Bengalska,Golfo del Bengala,Bengalske Bugt
Sea of Japan,Japanisches Meer,Mar del Japón,Mer du Japon,Japanhavet,Japonské moře,Японское море,Japanse Zee,Japanska havet,Mar do Japão,日本海(Sea of Japan),日本海 (Sea of Japan),Morze Japońskie,Mar del Giappone,Japanske Hav
Yellow Sea,Gelbes Meer,Mar Amarillo,Mer Jaune,Gulehavet,Žluté moře,Жёлтое море,Gele Zee,Gula havet,Mar Amarelo,黄海(Yellow Sea),黃海 (Yellow Sea),Morze Żółte,Mar Giallo,Gule Hav
Coral Sea,Korallenmeer,Mar del Coral,Mer de Corail,Korallhavet,Korálové moře,Коралловое море,Koraalzee,Korallhavet,Mar de Coral,珊瑚海(Coral Sea),珊瑚海 (Coral Sea),Morze Koralowe,Mar dei Coralli,Koralhavet
South China Sea,Südchinesisches Meer,Mar de la China Meridional,Mer de Chine méridionale,Sør-Kina-havet,Jihočínské moře,Южно-Китайское море,Zuid-Chinese Zee,Sydkinesiska havet,Mar da China Meridional,南海(South China Sea),南海 (South China Sea),Morze Południowochińskie,Mar Cinese Meridionale,Det Sydkinesiske Hav
Tasman Sea,Tasmansee,Mar de Tasmania,Mer de Tasman,Tasmanhavet,Tasmanovo moře,Тасманово море,Tasmanzee,Tasmanhavet,Mar de Tasman,塔斯曼海(Tasman Sea),塔斯曼海 (Tasman Sea),Morze Tasmana,Mar di Tasman,Tasmanske Hav
Gulf of Carpentaria,Golf von Carpentaria,Golfo de Carpentaria,Golfe de Carpentarie,Carpentariabukta,Carpentarský záliv,Залив Карпентария,Golf van Carpentaria,Carpentariaviken,Golfo de Carpentária,卡奔塔利亚湾(Gulf of Carpentaria),喀本塔利亞灣 (Gulf of Carpentaria),Zatoka Karpentaria,Golfo di Carpentaria,Carpentariabugten
Aral Sea,Aralsee,Mar de Aral,Mer d'Aral,Aralsjøen,Aralské jezero,Аральское море,Aralmeer,Aralsjön,Mar de Aral,咸海(Aral Sea),鹹海 (Aral Sea),Morze Aralskie,Lago d'Aral,Aralsøen
Persian Gulf,Persischer Golf,Golfo Pérsico,Golfe Persique,Persiabukta,Perský záliv,Персидский залив,Perzische Golf,Persiska viken,Golfo Pérsico,波斯湾(Persian Gulf),波斯灣 (Persian Gulf),Zatoka Perska,Golfo Persico,Persiske Bugt
Caribbean Sea,Karibisches Meer,Mar Caribe,Mer des Caraïbes,Det karibiske hav,Karibské moře,Карибское море,Caribische Zee,Karibiska havet,Mar das Caraíbas,加勒比海(Caribbean Sea),加勒比海 (Caribbean Sea),Morze Karaibskie,Mare Caraibico,Caribiske Hav
Gulf of California,Golf von Kalifornien,Golfo de California,Golfe de Californie,Californiabukta,Kalifornský záliv,Калифорнийский залив,Golf van Californië,Californiaviken,Golfo da Califórnia,加利福尼亚湾(Gulf of California),加利福尼亞灣 (Gulf of California),Zatoka Kalifornijska,Golfo di California,Den Californiske Havbugt
Polynesia,Polynesien,Polinesia,Polynésie,Polynesia,Polynésie,Полинезия,Polynesië,Polynesien,Polinésia,波利尼西亚(Polynesia),玻里尼西亞 (Polynesia),Polinezja,Polinesia,Polynesien
Melanesia,Melanesien,Melanesia,Mélanésie,Melanesia,Melanésie,Меланезия,Melanesië,Melanesien,Melanésia,美拉尼西亚(Melanesia),美拉尼西亞 (Melanesia),Melanezja,Melanesia,Melanesien
Scandinavia,Skandinavien,Escandinavia,Scandinavie,Skandinavia og Norden,Skandinávie,Скандинавия,Scandinavisch Schiereiland,Skandinavien,Escandinávia,斯堪的纳维亚(Scandinavia),斯堪地那維亞 (Scandinavia),Skandynawia,Scandinavia,Skandinavien
Sea of Galilee,See Genezareth,Mar de Galilea,Lac de Tibériade,Gennesaretsjøen,Galilejské jezero,Галилейское море,Meer van Tiberias,Gennesaretsjön,Mar da Galileia,加利利海(Sea of Galilee),加利利海 (Sea of Galilee),Jezioro Tyberiadzkie,Lago di Tiberiade,Genesaret Sø
Sumatra,Sumatra,Sumatra,Sumatra,Sumatra,Sumatra,Суматра,Sumatra,Sumatra,Sumatra,苏门答腊岛(Sumatra),蘇門答臘 (Sumatra),Sumatra,Sumatra,Sumatra
Sicily,Sizilien,Sicilia,Sicile,Sicilia,Sicílie,Сицилия,Sicilië,Sicilien,Sicília,西西里岛(Sicily),西西里島 (Sicily),Sycylia,Sicilia,Sicilien
Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,Майотта,Mayotte,Mayotte,Maiote,马约特岛(Mayotte),馬約特島 (Mayotte),Majotta,Mayotte,Mayotte
Réunion,La Réunion,Reunión,La Réunion,Réunion,Réunion,Реюньон,Réunion,Réunion,Reunião,留尼汪岛(Réunion),留尼旺島 (Réunion),Reunion,La Riunione,Réunion
Falkland Islands,Falklandinseln,Islas Malvinas,Îles Malouines,Falklandsøyene,Falklandy,Фолклендские острова,Falklandeilanden,Falklandsöarna,Ilhas Malvinas,福克兰群岛(Falkland Islands),福克蘭群島 (Falkland Islands),Falklandy,Isole Falkland,Falklandsøerne
Europe,Europa,Europa,Europe,Europa,Evropa,Европа,Europa,Europa,Europa,欧洲(Europe),歐洲 (Europe),Europa,Europa,Europa
North America,Nordamerika,América del Norte,Amérique du Nord,Nord-Amerika,Severní Amerika,Северная Америка,Noord-Amerika,Nordamerika,América do Norte,北美洲(North America),北美洲 (North America),Ameryka Północna,America del Nord,Nordamerika
South America,Südamerika,América del Sur,Amérique du Sud,Sør-Amerika,Jižní Amerika,Южная Америка,Zuid-Amerika,Sydamerika,América do Sul,南美洲(South America),南美洲 (South America),Ameryka Południowa,America meridionale,Sydamerika
Asia,Asien,Asia,Asie,Asia,Asie,Азия,Azië,Asien,Ásia,亚洲(Asia),亞洲 (Asia),Azja,Asia,Asien
Africa,Afrika,África,Afrique,Afrika,Afrika,Африка,Afrika,Afrika,África,非洲(Africa),非洲 (Africa),Afryka,Africa,Afrika
Oceania,Ozeanien,Oceanía,Océanie,Oseania,Oceánie,Австралия и Океания,Oceanië,Oceanien,Oceania,大洋洲(Oceania),大洋洲 (Oceania),Oceania,Oceania,Oceanien
Antarctica,Antarktis,Antártida,Antarctique,Antarktis,Antarktida,Антарктида,Antarctica,Antarktis,Antártica,南极洲(Antarctica),南極洲 (Antarctica),Antarktyda,Antartide,Antarktis
Saint Martin,Saint-Martin,San Martín (Francia),Saint-Martin (Antilles françaises),Saint-Martin,Svatý Martin (francouzská část),Сен-Мартен,Sint-Maarten (Franse Antillen),Saint Martin,São Martinho (França),圣马丁(Saint Martin),聖馬丁 (Saint Martin),Saint-Martin,Saint-Martin,Saint-Martin
Wallis and Futuna,Wallis und Futuna,Wallis y Futuna,Wallis-et-Futuna,Wallis og Futuna,Wallis a Futuna,Уоллис и Футуна,Wallis en Futuna,Wallis- och Futunaöarna,Wallis e Futuna,瓦利斯和富图纳群岛(Wallis and Futuna),瓦利斯群島和富圖那群島 (Wallis and Futuna),Wallis i Futuna,Wallis e Futuna,Wallis og Futuna
Akrotiri and Dhekelia,Akrotiri und Dekelia,Acrotiri y Dhekelia,Akrotiri et Dhekelia,Akrotiri og Dekelia,Akrotiri a Dekelia,Акротири и Декелия,Akrotiri en Dhekelia,Akrotiri och Dhekelia,Acrotíri e Deceleia,阿克罗蒂里和德凯利亚(Akrotiri and Dhekelia),亞克羅提利與德凱利亞 (Akrotiri and Dhekelia),Akrotiri i Dhekelia,Akrotiri e Dhekelia,Akrotiri og Dhekelia
Svalbard,Spitzbergen,Svalbard,Svalbard,Svalbard,Špicberky,Шпицберген,Spitsbergen,Svalbard,Esvalbarda,斯瓦尔巴群岛(Svalbard),斯瓦巴 (Svalbard),Svalbard,Svalbard,Svalbard
Hawaii,Hawaii,Hawái,Hawaï,Hawaii,Havaj,Гавайи,Hawaï,Hawaii,Havaí,夏威夷(Hawaii),夏威夷 (Hawaii),Hawaje,Hawaii,Hawaii
Alaska,Alaska,Alaska,Alaska,Alaska,Aljaška,Аляска,Alaska,Alaska,Alasca,阿拉斯加(Alaska),阿拉斯加 (Alaska),Alaska,Alaska,Alaska
Bougainville,Bougainville,Bougainville,Bougainville,Bougainville,Bougainville,Бугенвиль,Bougainville,Bougainville,Bougainville,布干维尔(Bougainville),布干維爾島 (Bougainville),Bougainville,Bougainville,Bougainville
Jeju,Jeju-do,Jeju,Jeju,Jeju,Čedžu,Чеджудо,Jeju,Jeju,Jeju,济州岛(Jeju),濟州市 (Jeju),Czedżu,Jeju,Cheju-do
Banda Sea,Bandasee,Mar de Banda,Mer de Banda,Bandasjøen,Bandské moře,Море Банда,Bandazee,Bandasjön,Mar de Banda,班达海(Banda Sea),班達海 (Banda Sea),Morze Banda,Mar di Banda,Bandahavet
Barents Sea,Barentssee,Mar de Barents,Mer de Barents,Barentshavet,Barentsovo moře,Баренцево море,Barentszzee,Barents hav,Mar de Barents,巴伦支海(Barents Sea),巴倫支海 (Barents Sea),Morze Barentsa,Mare di Barents,Barentshavet
Celebes Sea,Celebessee,Mar de Célebes,Mer de Célèbes,Celebessjøen,Celebeské moře,Море Сулавеси,Celebeszee,Sulawesisjön,Mar de Celebes,"苏拉威西海(Celebes Sea, 亦称西里伯斯海)",西里伯斯海(蘇拉威西海) (Celebes Sea),Morze Celebes,Mare di Celebes,Celebeshavet
East China Sea,Ostchinesisches Meer,Mar de la China Oriental,Mer de Chine orientale,Øst-Kina-havet,Východočínské moře,Восточно-Китайское море,Oost-Chinese Zee,Östkinesiska havet,Mar da China Oriental,东海(East China Sea),東海 (East China Sea),Morze Wschodniochińskie,Mar Cinese Orientale,Det Østkinesiske Hav
Gulf of Alaska,Golf von Alaska,Golfo de Alaska,Golfe d'Alaska,Alaskabukta,Aljašský záliv,Залив Аляска,Golf van Alaska,Alaskagolfen,Golfo do Alasca,阿拉斯加湾(Gulf of Alaska),阿拉斯加灣 (Gulf of Alaska),Zatoka Alaska,Golfo dell'Alaska,Alaskagolfen
Gulf of Guinea,Golf von Guinea,Golfo de Guinea,Golfe de Guinée,Guineabukta,Guinejský záliv,Гвинейский залив,Golf van Guinee,Guineabukten,Golfo da Guiné,几内亚湾(Gulf of Guinea),幾內亞灣 (Gulf of Guinea),Zatoka Gwinejska,Golfo di Guinea,Guineabugten
North Sea,Nordsee,Mar del Norte,Mer du Nord,Nordsjøen,Severní moře,Северное море,Noordzee,Nordsjön,Mar do Norte,北海(North Sea),北海 (North Sea),Morze Północne,Mare del Nord,Nordsøen
Sea of Okhotsk,Ochotskisches Meer,Mar de Ojotsk,Mer d'Okhotsk,Okhotskhavet,Ochotské moře,Охотское море,Zee van Ochotsk,Ochotska havet,Mar de Okhotsk,鄂霍次克海(Sea of Okhotsk),鄂霍次克海 (Sea of Okhotsk),Morze Ochockie,Mare di Ochotsk,Det Okhotske Hav
Timor Sea,Timorsee,Mar de Timor,Mer de Timor,Timorsjøen,Timorské moře,Тиморское море,Timorzee,Timorsjön,Mar de Timor,帝汶海(Timor Sea),帝汶海 (Timor Sea),Morze Timor,Mar di Timor,Timorhavet
